capture,hamming_distance_vs_capture1,ber_vs_capture1,ber_percent_vs_capture1
1,0,0.0,0.0
2,119,0.05810546875,5.810546875
3,125,0.06103515625,6.103515625
4,127,0.06201171875,6.201171875
5,115,0.05615234375,5.615234375
6,114,0.0556640625,5.56640625
7,125,0.06103515625,6.103515625
8,124,0.060546875,6.0546875
9,129,0.06298828125,6.298828125
10,107,0.05224609375,5.224609375
11,123,0.06005859375,6.005859375
12,116,0.056640625,5.6640625
13,125,0.06103515625,6.103515625
14,126,0.0615234375,6.15234375
15,123,0.06005859375,6.005859375
16,126,0.0615234375,6.15234375
17,120,0.05859375,5.859375
18,121,0.05908203125,5.908203125
19,127,0.06201171875,6.201171875
20,125,0.06103515625,6.103515625
21,119,0.05810546875,5.810546875
22,133,0.06494140625,6.494140625
23,120,0.05859375,5.859375
24,125,0.06103515625,6.103515625
25,111,0.05419921875,5.419921875
26,116,0.056640625,5.6640625
27,123,0.06005859375,6.005859375
28,122,0.0595703125,5.95703125
29,125,0.06103515625,6.103515625
30,114,0.0556640625,5.56640625
