capture,hamming_distance_vs_capture1,ber_vs_capture1,ber_percent_vs_capture1
1,0,0.0,0.0
2,109,0.05322265625,5.322265625
3,112,0.0546875,5.46875
4,103,0.05029296875,5.029296875
5,107,0.05224609375,5.224609375
6,119,0.05810546875,5.810546875
7,106,0.0517578125,5.17578125
8,116,0.056640625,5.6640625
9,113,0.05517578125,5.517578125
10,117,0.05712890625,5.712890625
11,105,0.05126953125,5.126953125
12,114,0.0556640625,5.56640625
13,109,0.05322265625,5.322265625
14,102,0.0498046875,4.98046875
15,114,0.0556640625,5.56640625
16,105,0.05126953125,5.126953125
17,112,0.0546875,5.46875
18,117,0.05712890625,5.712890625
19,114,0.0556640625,5.56640625
20,128,0.0625,6.25
21,115,0.05615234375,5.615234375
22,119,0.05810546875,5.810546875
23,116,0.056640625,5.6640625
24,112,0.0546875,5.46875
25,96,0.046875,4.6875
26,109,0.05322265625,5.322265625
27,120,0.05859375,5.859375
28,113,0.05517578125,5.517578125
29,118,0.0576171875,5.76171875
30,88,0.04296875,4.296875
